"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9669","Validate End to End Get Single User","","Wed Sep 04 08:30:34 IST 2024","passed","Wed Sep 04 08:30:44 IST 2024","","Test End to End User","",""
"","878","As a user, I can log into the secure area","","Wed Sep 04 08:33:37 IST 2024","passed","Wed Sep 04 08:33:38 IST 2024","","The Internet Guinea Pig Website","",""
"","2078","Get app title","","Wed Sep 04 08:33:27 IST 2024","passed","Wed Sep 04 08:33:29 IST 2024","","Test multiple environment","",""
"","9776","Test different wait types","","Wed Sep 04 08:33:41 IST 2024","passed","Wed Sep 04 08:33:50 IST 2024","","Wait types demo","",""
"","16721","Verify the header of the page","","Wed Sep 04 08:32:40 IST 2024","passed","Wed Sep 04 08:32:57 IST 2024","","Check the header of the page","",""
"","18372","Test file download","","Wed Sep 04 08:31:05 IST 2024","passed","Wed Sep 04 08:31:23 IST 2024","","Validate download functionality","",""
"","6782","Validate form data with json file","","Wed Sep 04 08:32:18 IST 2024","passed","Wed Sep 04 08:32:25 IST 2024","","Test practice form","",""
"","17885","Validate End to End Create User","","Wed Sep 04 08:30:44 IST 2024","passed","Wed Sep 04 08:31:02 IST 2024","","Test End to End User","",""
"","24606","Test practice form","","Wed Sep 04 08:32:59 IST 2024","passed","Wed Sep 04 08:33:24 IST 2024","","Practice form page","",""
